Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

L1         STEWARD_1SR       6150mil       7200mil       6150mil       7200mil       5981mil       7200mil  T          0.00 Inductor 28F0121-1SR
C64        6032             6605mil       7280mil       6605mil       7280mil       6605mil   7189.449mil  T         90.00 POLCAP2   
C65        6032             6840mil       7280mil       6840mil       7280mil       6840mil   7189.449mil  T         90.00 POLCAP2   
U3         SOT223-5/Simple       5310mil   3361.575mil       5310mil       3460mil       5410mil       3460mil  T        180.00 TPS79525  
U4         SOT223-5/Simple       5910mil   3361.575mil       5910mil       3460mil       6010mil       3460mil  T        180.00 TPS79501  
U2         SOT223-5/Simple   5610.236mil   7041.575mil   5610.236mil       7140mil   5710.236mil       7140mil  T        180.00 TPS79518  
C1         6032             5560mil       7330mil       5560mil       7330mil   5469.449mil       7330mil  T        360.00 POLCAP2   
C4.A1      3216             6380mil       6770mil       6380mil       6770mil   6324.882mil       6770mil  T        360.00 POLCAP    
C5.A1      3216             6090mil   6854.882mil       6090mil   6854.882mil       6090mil       6910mil  T        270.00 POLCAP    
C5.A2      3216             6090mil   5254.882mil       6090mil   5254.882mil       6090mil       5310mil  T        270.00 POLCAP    
C8.A1      3216             5975mil       6175mil       5975mil       6175mil   6030.118mil       6175mil  T        180.00 POLCAP    
C8.A2      3216             6040mil       4490mil       6040mil       4490mil       6040mil   4545.118mil  T        270.00 POLCAP    
C10.A1     3216             5975mil       6325mil       5975mil       6325mil   6030.118mil       6325mil  T        180.00 POLCAP    
C10.A2     3216             5930mil       4490mil       5930mil       4490mil       5930mil   4545.118mil  T        270.00 POLCAP    
C13.A1     3216             6180mil       6610mil       6180mil       6610mil       6180mil   6554.882mil  T         90.00 POLCAP    
C13.A2     3216             6180mil       5010mil       6180mil       5010mil       6180mil   4954.882mil  T         90.00 POLCAP    
C14.A1     3216             6080mil       5550mil       6080mil       5550mil       6080mil   5605.118mil  T        270.00 POLCAP    
C14.A2     3216             6080mil       3950mil       6080mil       3950mil       6080mil   4005.118mil  T        270.00 POLCAP    
C16.A1     3216             6060mil       6510mil       6060mil       6510mil       6060mil   6454.882mil  T         90.00 POLCAP    
C16.A2     3216             6060mil       4910mil       6060mil       4910mil       6060mil   4854.882mil  T         90.00 POLCAP    
C18.A1     3216             6410mil       5740mil       6410mil       5740mil   6354.882mil       5740mil  T        360.00 POLCAP    
C18.A2     3216             6410mil       4140mil       6410mil       4140mil   6354.882mil       4140mil  T        360.00 POLCAP    
C71        1206             5340mil       7060mil       5340mil       7060mil       5340mil   7004.882mil  T         90.00 Cap       
C75        6032             4930mil       3330mil       4930mil       3330mil   5020.551mil       3330mil  T        180.00 POLCAP2   
C76        6032         5912.608mil   6884.801mil   5912.608mil   6884.801mil   5912.608mil   6975.352mil  T        270.00 POLCAP2   
C77        1206             5250mil       3580mil       5250mil       3580mil   5305.118mil       3580mil  T        180.00 Cap       
C78        6032             5480mil       3710mil       5480mil       3710mil       5480mil   3619.449mil  T         90.00 POLCAP2   
C88        6032             6170mil       3670mil       6170mil       3670mil       6170mil   3579.449mil  T         90.00 POLCAP2   
C98        6032             5720mil       3720mil       5720mil       3720mil       5720mil   3629.449mil  T         90.00 POLCAP2   
C99        1206             5950mil       3580mil       5950mil       3580mil   6005.118mil       3580mil  T        180.00 Cap       
DS1        SMD__LED     5869.999mil       3980mil       5870mil       3980mil   5907.401mil       3980mil  T          0.00 LED3      
DS2        SMD__LED     5669.999mil       3980mil       5670mil       3980mil   5707.401mil       3980mil  T          0.00 LED3      
J1         MOLES_67800-5005   5655.315mil   6430.709mil       5675mil       6275mil       5675mil       6275mil  T        270.00 SATA 7-pin header
JP9        SMT_2x7_2mm_HDR       4260mil       7220mil       4260mil       7220mil   4496.221mil   7303.661mil  T        360.00 Header 7X2
O1         ECS-3953M    5682.677mil       4320mil   5765.354mil       4220mil   5765.354mil       4220mil  T         90.00 OSC2      
P17        MOLEX_15-91-2160       3420mil       7220mil       3420mil       7220mil       3770mil   7307.402mil  T        360.00 Header 8X2
R1         0603             5640mil       5980mil       5640mil       5980mil   5606.535mil       5980mil  T          0.00 100       
