Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

P2         HDR1X8           1560mil       3870mil       1560mil       4220mil       1560mil       4220mil  T        270.00 LX9501    
U6         SSO-G28/E4.3       5020mil       4800mil       5020mil       4800mil   5186.338mil   4933.858mil  T        180.00 DS92LV1224
U5         SOT223-5/Simple       5120mil   5678.425mil       5120mil       5580mil       5020mil       5580mil  T        360.00 TPS79501  
U4         SOT223-5/Simple       4300mil   5538.425mil       4300mil       5440mil       4200mil       5440mil  T        360.00 TPS79525  
U3         QFP10x10-G44/G10N       2900mil       5160mil       2900mil       5160mil   2665.748mil    5317.48mil  T          0.00 Xilinx CoolRunner-II XC2C64A
U2         SOT223-5/Simple       3620mil   5678.425mil       3620mil       5580mil       3520mil       5580mil  T        360.00 TPS79518  
R11        0603             5140mil       5060mil       5140mil       5060mil   5106.535mil       5060mil  T        360.00 100       
R10        0603             5260mil       5000mil       5260mil       5000mil       5260mil   5033.465mil  T        270.00 100       
R9         0603             5320mil       4880mil       5320mil       4880mil       5320mil   4846.535mil  T         90.00 100       
R8         CC1608-0603       3340mil       5320mil       3340mil       5320mil   3306.535mil       5320mil  T          0.00 current-limiting series res
R7         CC1608-0603       3540mil       4740mil       3540mil       4740mil   3573.465mil       4740mil  T        180.00 current-limiting series res
R6         CC1608-0603       3740mil       4740mil       3740mil       4740mil   3706.535mil       4740mil  T          0.00 current-limiting series res
R5         CC1608-0603       3520mil       5320mil       3520mil       5320mil   3486.535mil       5320mil  T          0.00 current-limiting series res
R4         CC1608-0603       3360mil       4740mil       3360mil       4740mil   3326.535mil       4740mil  T          0.00 current-limiting series res
R3         CC1608-0603       3700mil       5320mil       3700mil       5320mil   3666.535mil       5320mil  T          0.00 current-limiting series res
P1         MOLEX_15-91-2160       2760mil       5720mil       2760mil       5720mil       3110mil   5807.402mil  T        360.00 Header 8X2
